Plant Category,Seed Name,Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Soil depth for sowing (inches),Plant name,water unit
Leafy Vegetable,Epinard hâtif à grandes feuilles,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,"epinard hâtif à grandes feuilles
le sachet de +/- 1500 graines",
Vegetable,Epinard Fraise,36.0,"[""NPK"",""Compost"",""Manure""]",2.5,0.75,epinard fraise,
Vegetable,Epinard Butterflay,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,"epinard butterflay
le sachet de +/- 1500 graines",
Vegetable,Epinard géant d'hiver,48.0,"[""Nitrogen-rich fertilizer"",""Potassium-based fertilizer""]",2.0,1.0,"epinard géant d'hiver
le sachet de +/- 1500 graines",
Vegetable,Epinard Perpetuel,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,epinard perpetuel,
Leafy green vegetable,Epinard Thorin (Type Matador),36.0,"[""NPK 10-10-10"",""Compost""]",5.0,0.75,"epinard thorin (type matador)
le sachet de +/- 1680 graines",
Vegetable,Courge Eponge Luffa,48.0,"[""Organic compost"",""Well-rotted manure""]",2.0,1.0,"courge eponge luffa
le sachet de 12 graines",
Vegetable,Pâtisson Blanc,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,"pâtisson blanc
le sachet de 12 graines",
Vegetable,Pâtisson Orange,48.0,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4.0,1.0,"pâtisson orange
le sachet de 12 graines",
Vegetable,Pâtisson Panaché,24.0,"[""Organic compost"",""NPK fertilizer""]",2.0,1.0,"pâtisson panaché
le sachet de 12 graines",
Vegetable,Pâtisson vert pâle de Bennings,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,1.0,"pâtisson vert pâle de bennings
le sachet de 12 graines",
Vegetable,Carotte blanche de Küttigen,48.0,"[""NPK"",""Compost""]",5.0,0.5,"carotte blanche de küttigen
le sachet de +/- 2000 graines",
Vegetable,Carotte de colmar à coeur rouge 2,48.0,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4.0,0.5,"carotte de colmar à coeur rouge 2
le sachet de +/- 2000 graines",
Vegetable,Carotte Nantaise 2,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,"carotte nantaise 2
le sachet de +/- 2000 graines",
Vegetable,Carotte Rodelika,48.0,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4.0,1.0,"carotte rodelika
le sachet de +/- 2200 graines",
Vegetable,Carotte Violette Rouge Sang,24.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,"carotte violette ""rouge sang""
le sachet de +/- 2000 graines",
Vegetable,Carotte Jaune Obtuse du Doubs,72.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,"carotte jaune obtuse du doubs
le sachet de +/- 2000 graines",
Vegetable,Carotte Flakkeese 2,48.0,"[""Nitrogen-based"",""Potassium-based""]",4.0,0.5,"carotte flakkeese 2
le sachet de +/- 2000 graines",
Vegetable,Carotte Violette Gniff,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,"carotte violette gniff
le sachet de +/- 2000 graines",
Vegetable,Carotte Blanche des Vosges,48.0,"[""NPK 10-10-10"",""Compost"",""Bone Meal""]",4.0,0.5,"carotte blanche des vosges
le sachet de +/- 2000 graines",
Carrot,Carotte de Chantenay à Coeur Rouge 2,24.0,"[""NPK"",""Compost""]",4.0,0.5,"carotte de chantenay à coeur rouge 2
le sachet de +/- 2000 graines",
Vegetable,Carotte géante de Tilques,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,"carotte géante de tilques
le sachet de +/- 2000 graines",
Vegetable,Carottes en mélange,48.0,"[""NPK"",""Compost""]",4.0,0.5,"carottes en mélange
le sachet de +/- 2000 graines",
Vegetable,Carotte Longue Jaune de Belgique,24.0,"[""Nitrogen-based"",""Phosphorus-based""]",4.0,0.5,"carotte longue jaune de belgique
le sachet de +/- 2000 graines",
Vegetable,Poireau gros long d’été,36.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.5,1.5,"poireau gros long d’été
le sachet de +/- 450 graines",
Vegetable,Poireau Jaune du Poitou,48.0,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4.0,0.5,"poireau jaune du poitou
le sachet de +/- 450 graines",
Vegetable,Poireau Elbeuf Elephant,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,2.0,"poireau elbeuf elephant
le sachet de +/- 450 graines",
Maize,Maïs doux mezdi,48.0,"[""NPK 15-15-15"",""Compost""]",4.0,2.0,"maïs doux mezdi
le sachet de +/- 70 graines",
Maïs doux martian purple,Le sachet de +/- 80 graines,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,2.0,"maïs doux martian purple
le sachet de +/- 80 graines",h
Vegetable,Maïs doux multicolore inca rainbow,48.0,"[""NPK fertilizer"",""Compost""]",4.0,2.0,"maïs doux multicolore inca rainbow
le sachet de +/- 80 graines",
Corn,Maïs Doux Golden Bantam,60.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",5.0,2.5,"maïs doux golden bantam
le sachet de +/- 80 graines",
Vegetable,Fenouil doux précoce d'été,48.0,"[""Organic compost"",""Fish emulsion""]",4.0,0.5,"fenouil doux précoce d'été
le sachet de +/- 380 graines",d
Vegetable,Fenouil Doux Zefa Fino,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,"fenouil doux zefa fino
le sachet de +/- 380 graines",
Herb,Fenouil Doux Zefa Tardo,24.0,"[""Organic compost"",""Liquid seaweed fertilizer"",""Fish emulsion""]",4.0,0.5,"fenouil doux zefa tardo
le sachet de +/- 380 graines",
Herbaceous plant,Fenouil doux perfection,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",2.0,0.5,"fenouil doux perfection
le sachet de +/- 380 graines",
Herbaceous Plant,Fenouil Doux Selma,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,"fenouil doux selma
le sachet de +/- 380 graines",
Vegetable,Côte de bette verte à couper,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,1.0,"côte de bette verte à couper
le sachet de +/- 100 graines",
Vegetable,côte de bette à cardes rouges,48.0,"[""NPK"",""compost""]",4.0,0.5,"côte de bette à cardes rouges
le sachet de +/- 130 graines",
Vegetable,Côte de bette à cardes multicolores,48.0,"[""Organic compost"",""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",5.0,0.5,"côte de bette à cardes multicolores
le sachet de +/- 100 graines",
Vegetable,côte de bette à cardes jaunes bright yellow,2.5,"[""compost"",""organic fertilizer""]",5.0,1.0,"côte de bette à cardes jaunes bright yellow
le sachet de +/- 100 graines",
Vegetable,Côte de Bette Lucullus,48.0,"[""Nitrogen-rich fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,"côte de bette lucullus
le sachet de +/- 100 graines",
Vegetable,Côte de Bette Orange 'Coucher de Soleil',48.0,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4.0,1.0,"côte de bette orange ""coucher de soleil""
le sachet de +/- 70 graines",
Leafy Vegetable,Côte de bette verte à cardes blanches,48.0,"[""NPK"",""Compost""]",4.0,0.5,"côte de bette verte à cardes blanches
le sachet de +/- 100 graines",
Vegetable,Tétragone Cornue,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,tétragone cornue,
Herb,Cerfeuil tubéreux,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,"cerfeuil tubéreux
le sachet de +/- 135 graines",
Vegetable,Navet de Croissy,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,"navet de croissy
le sachet de +/- 1000 graines",
Vegetable,Navet de Milan à forcer à collet rose,48.0,"[""NPK fertilizer"",""Compost""]",2.0,0.5,"navet de milan à forcer à collet rose
le sachet de +/- 1000 graines",
Vegetable,Navet des Vertus Marteau,48.0,"[""NPK fertilizer"",""Organic compost""]",3.0,0.5,"navet des vertus marteau
le sachet de +/- 1000 graines",
Vegetable,Navet Boule d'Or,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.4,"navet boule d'or
le sachet de +/- 1040 graines",
Vegetable,Navet de Nancy,36.0,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers"",""Potassium-based fertilizers""]",5.0,0.75,"navet de nancy
le sachet de +/- 1000 graines",
Vegetable,Navet Noir Long d'Hiver,48.0,"[""Nitrogen"",""Potassium""]",2.0,0.5,"navet noir long d'hiver
le sachet de +/- 1000 graines",
Vegetable,Navet Petrowski,48.0,"[""NPK"",""Organic compost""]",2.0,1.0,"navet petrowski
le sachet de +/- 990 graines",
Vegetable,"Navet hâtif ""blanc plat de mai""",48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",3.0,0.5,"navet hâtif ""blanc plat de mai""
le sachet de +/- 1000 graines",
Vegetable,Navet Blanc Globe à Collet Violet,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,"navet blanc globe à collet violet
le sachet de +/- 1000 graines",
Vegetable,Navet Boulette de Champagne,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3.0,0.5,"navet boulette de champagne
le sachet de +/- 1000 graines",
Vegetable,Chou-navet wilhelmsburger jaune à collet vert,48.0,"[""Organic compost"",""All-purpose vegetable fertilizer""]",3.5,0.75,"chou-navet wilhelmsburger jaune à collet vert
le sachet de +/- 300 graines",
Vegetable,Chou-navet jaune,48.0,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4.0,0.5,"chou-navet jaune
le sachet de +/- 250 graines",
Leafy Vegetable,Mizuna,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,"mizuna
le sachet de +/- 1070 graines",
Vegetable,Navet-Feuille Cima de Rapa,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,"navet-feuille cima de rapa
le sachet de +/- 1000 graines",
Fruit,Pastèque Lune Etoile,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,"pastèque lune etoile
le sachet de 12 graines",
Fruit,Pastèque Sugar Baby,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,"pastèque sugar baby
le sachet de 12 graines",
Vegetable,Chou Cabus de Brunswick,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,"chou cabus de brunswick
le sachet de +/- 250 graines",
Vegetable,Chou Cabus de Vaugirard,60.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",5.0,0.75,"chou cabus de vaugirard
le sachet de +/- 250 graines",
Vegetable,Chou Cabus Pointu Blanc Filderkraut,48.0,"[""Organic compost"",""NPK fertilizer""]",5.0,0.75,"chou cabus pointu blanc filderkraut
le sachet de +/- 250 graines",
Vegetable,chou cabus coeur de bœuf des vertus,48.0,"[""NPK"",""compost""]",4.0,0.5,"chou cabus coeur de bœuf des vertus
le sachet de +/- 250 graines",
Cabbage,Chou cabus blanc holsteiner platter,48.0,"[""abx"",""afn""]",2.0,0.5,"chou cabus blanc holsteiner platter
le sachet de +/- 250 graines",
Vegetable,Chou Cabus Pointu Blanc de Châteaurenard,48.0,"[""Nitrogen"",""Potassium"",""Phosphorus""]",4.0,0.5,"chou cabus pointu blanc de châteaurenard
le sachet de +/- 250 graines",
Vegetable,Chou Cabus Blanc Choupin,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,"chou cabus blanc choupin
le sachet de +/- 250 graines",
Vegetable,Chou Cabus Quintal d'Alsace,24.0,"[""Compost"",""Organic Fertilizer""]",4.0,0.5,"chou cabus quintal d'alsace
le sachet de +/- 80 graines",
Vegetable,Chou Cabu Précoce de Louviers,48.0,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4.0,0.5,"chou cabu précoce de louviers
le sachet de +/- 80 graines",
Vegetable,Chicorée Radicchio Rouge de Vérone,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",2.0,0.5,"chicorée radicchio rouge de vérone
le sachet de +/- 850 graines",
Vegetable,Chicorée Pain de Sucre,48.0,"[""NPK 10-10-10"",""Compost""]",2.0,0.5,"chicorée pain de sucre
le sachet de +/- 850 graines",
Vegetable,Chicorée Barbe de Capucin,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,"chicorée barbe de capucin
le sachet de +/- 850 graines",
Leafy vegetable,Chicorée radicchio rouge de Trévise,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,0.2,"chicorée radicchio rouge de trévise
le sachet de +/- 850 graines",
Vegetable,Chicorée sauvage grumolo,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,"chicorée sauvage grumolo
le sachet de +/- 850 graines",
Vegetable,Chicorée Sauvage Catalogna Aurelia,48.0,"[""NPK 10-10-10"",""Compost"",""Liquid Seaweed""]",2.0,0.5,"chicorée sauvage catalogna ""aurelia""
le sachet de +/- 850 graines",
Vegetable,Chicorée Pain de Sucre Nettuno,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.5,0.75,"chicorée pain de sucre ""nettuno""
le sachet de +/- 850 graines",
Vegetable,Chicorée tête d'anguille,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2.0,0.4,"chicorée tête d'anguille
le sachet de +/- 850 graines",
Vegetable,Chicorée Radicchio Chiogga Palla Rossa,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.4,"chicorée radicchio chiogga palla rossa
le sachet de +/- 850 graines",
Vegetable,Chicorée Radicchio Piave Medio,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",3.0,1.0,"chicorée radicchio piave medio
le sachet de +/- 850 graines",
Perennial,Fraisier des 4 saisons 'Reine des vallées',48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.5,"fraisier des 4 saisons ""reine des vallées""",
Vegetable,Poireau de Liège,48.0,"[""Nitrogen-based"",""Phosphorus-based""]",4.0,0.5,"poireau de liège
le sachet de +/- 450 graines",
Vegetable,Poireau St Victor,60.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",5.0,0.75,"poireau st victor
le sachet de +/- 450 graines",
Vegetable,Poireau Monstrueux de Carentan,60.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3.0,0.75,"poireau monstrueux de carentan
le sachet de +/- 450 graines",
Vegetable,Poireau Gros Vert de Huy,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,"poireau gros vert de huy
le sachet de +/- 450 graines",
Vegetable,Poireau Armor,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,"poireau armor
le sachet de +/- 450 graines",
Vegetable,Poireau Blaugrüner Winter,48.0,"[""Organic fertilizer"",""Nitrogen-rich fertilizer""]",4.0,1.0,"poireau blaugrüner winter
le sachet de +/- 450 graines",
Vegetable,Poireau Siegfried,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,1.0,"poireau siegfried
le sachet de +/- 450 graines",
Vegetable,Poireau Bleu de Solaise,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,1.0,"poireau bleu de solaise
le sachet de +/- 450 graines",
Vegetable,Poireau d'hiver de Cambrai,48.0,"[""Nitrogen-based"",""Potassium-based""]",4.0,0.5,"poireau d'hiver de cambrai
le sachet de +/- 450 graines",
Vegetable,Poireau Leblond,36.0,"[""Organic compost"",""NPK fertilizer""]",5.0,0.75,"poireau leblond
le sachet de +/- 450 graines",
Leafy vegetable,Laitue à couper feuille de chêne blonde,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.2,"laitue à couper feuille de chêne blonde
le sachet de +/- 700 graines",
Vegetable,Laitue à couper frisée d'Amérique,24.0,"[""NPK 10-10-10"",""Organic Compost""]",4.0,0.5,"laitue à couper frisée d'amérique
le sachet de +/- 700 graines",
Leafy vegetable,Laitue à couper lollo rossa,60.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2.5,0.375,"laitue à couper lollo rossa
le sachet de +/- 700 graines",
Leafy vegetable,Laitue à couper radichetta,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",5.0,0.5,"laitue à couper radichetta
le sachet de +/- 700 graines",
Leafy Vegetable,Laitue à Couper Feuille de Chêne Biscia Rossa,36.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",5.0,0.5,"laitue à couper feuille de chêne biscia rossa
le sachet de +/- 700 graines",
Leafy vegetable,Laitue à couper lattughino,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",2.0,0.5,"laitue à couper lattughino
le sachet de +/- 500 graines",
Leafy vegetable,Laitue à couper oreille du diable,24.0,"[""NPK fertilizer"",""Organic compost""]",2.0,0.25,"laitue à couper oreille du diable
le sachet de +/- 700 graines",
Vegetable,Laitue à couper feuilles de chêne rouge (Red Salad Bowl),48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,"laitue à couper feuilles de chêne rouge ""red salad bowl""
le sachet de +/- 500 graines",
Leafy Vegetable,Laitue à couper till,60.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3.0,0.375,"laitue à couper till
le sachet de +/- 500 graines",
Leafy vegetable,Laitue à couper cocarde,48.0,"[""NPK"",""Compost""]",2.0,0.4,"laitue à couper cocarde
le sachet de +/- 500 graines",
Leafy Greens,Laitues à couper en mélange,48.0,"[""Nitrogen-rich fertilizer"",""Organic compost""]",5.0,0.5,"laitues à couper en mélange
le sachet de +/- 700 graines",
Vegetable,Courgette Jaune,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,2.0,"courgette jaune
le sachet de 12 graines",
Vegetable,Courgette mutabile,48.0,"[""NPK 10-10-10"",""Compost"",""Liquid seaweed fertilizer""]",4.0,1.0,"courgette mutabile
le sachet de 12 graines",d
Vegetable,Courgettes en mélange,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,"courgettes en mélange
le sachet de 12 graines",
Vegetable,Courgette Blanche d'Egypte,48.0,"[""Nitrogen"",""Phosphorous"",""Potassium""]",2.0,1.0,"courgette blanche d'egypte
le sachet de 12 graines",
Vegetable,Courgette Cocozelle de Tripolis,48.0,"[""NPK 10-10-10"",""Organic compost""]",3.0,1.0,"courgette cocozelle de tripolis
le sachet de 12 graines",
Vegetable,Courgette Caserta,48.0,"[""Organic compost"",""NPK fertilizer""]",2.0,2.0,"courgette caserta
le sachet de 12 graines",
Vegetable,Courgette Costata Romanesco,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,2.0,"courgette costata romanesco
le sachet de 12 graines",
Vegetable,Courgette Black Beauty,48.0,"[""NPK"",""Organic compost""]",2.0,2.0,"courgette black beauty
le sachet de 12 graines",
Vegetable,Courgette Ronde de Nice,60.0,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",5.0,1.5,"courgette ronde de nice
le sachet de 12 graines",
Vegetable,Courgette Verte d'Italie,48.0,"[""Nitrogen"",""Phosphorus""]",4.0,1.0,"courgette verte d'italie
le sachet de 12 graines",
Vegetable,Courgette Petite Grise d'Alger,48.0,"[""Organic compost"",""All-purpose fertilizer""]",3.0,1.0,"courgette petite grise d'alger
le sachet de 12 graines",
Annual Flower,Centaurea Cyanus,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.25,centaurea cyanus,
Annual Flowering Plant,Hibiscus Trionum,48.0,"[""Balanced NPK fertilizer"",""Organic compost""]",4.0,0.5,hibiscus trionum,
Flowering Plant,Helianthus debilis nutt.,48.0,"[""NPK 10-10-10"",""Organic Compost""]",4.0,1.0,helianthus debilis nutt.,
Flowering Plant,Arctotis sp.,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,1.0,arctotis sp.,
Vine,Lagenaria siceraria (Molina) Standl,48.0,"[""Organic compost"",""NPK fertilizers""]",2.0,1.0,lagenaria siceraria (molina) standl,
Vine plant,Lagenaria siceraria (Molina) Standl.,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,1.0,lagenaria siceraria (molina) standl.,
Vegetable,Solanum melongena L.,48.0,"[""NPK"",""Organic compost""]",2.0,0.5,solanum melongena l.,
Cultivated Plant,Cucurbita moschata duchesne,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,2.0,cucurbita moschata duchesne,
Vegetable,Cucurbita maxima Duchesne,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",5.0,1.5,cucurbita maxima duchesne,
Vegetable,Brassica Juncea (L.) Czern.,48.0,"[""NPK fertilizer"",""Compost""]",4.0,0.5,brassica juncea (l.) czern.,
Vegetable,Brassica oleracea L. convar. botrytis (L.) Alef. var. cymosa Duch,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3.0,0.5,brassica oleracea l. convar. botrytis (l.) alef. var. cymosa duch,
Vegetable,Brassica oleracea L. convar. botrytis,24.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,1.0,brassica oleracea l. convar. botrytis,
Vegetable,Brassica oleracea L. convar. acephala DC,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,brassica oleracea l. convar. acephala dc,
Vegetable,Brassica oleracea L. var. costata DC,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,brassica oleracea l. var. costata dc,
Vegetable,Brassica oleracea L. convar. capitata,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,brassica oleracea l. convar. capitata,
Vegetable,Beta vulgaris l. ssp. vulgaris,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,beta vulgaris l. ssp. vulgaris,
Vegetable,Valerianella locusta (L.) Betcke,60.0,"[""Organic compost"",""NPK fertilizer""]",5.0,0.75,valerianella locusta (l.) betcke,d
